steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.4,1,0.4,0.6
2,2,1.3,1,0.9,0.7
3,3,1.9000000000000001,1,0.6000000000000001,1.0999999999999999
4,4,2.7,1,0.8,1.2999999999999998
5,5,3.3000000000000003,1,0.6000000000000001,1.6999999999999997
6,6,4.1000000000000005,1,0.8,1.8999999999999997
7,7,4.300000000000001,1,0.2,2.6999999999999997
8,8,4.4,1,0.1,3.5999999999999996
9,9,5.0,1,0.6000000000000001,3.9999999999999996
10,10,5.2,1,0.2,4.8
12,12,6.700000000000001,1,0.6000000000000001,5.299999999999999
14,14,7.200000000000001,1,0.0,6.799999999999999
17,17,8.600000000000001,1,0.5,8.399999999999999
20,20,10.000000000000002,1,0.30000000000000004,9.999999999999998
25,25,12.0,1,0.1,13.0
30,30,14.1,1,0.9,15.9
40,40,19.2,1,0.8,20.799999999999997
50,50,23.100000000000005,1,0.30000000000000004,26.89999999999999
60,60,29.200000000000003,1,0.9,30.799999999999994
70,70,32.00000000000001,1,0.30000000000000004,37.99999999999999
80,80,37.70000000000002,1,0.6000000000000001,42.29999999999998
90,90,42.200000000000024,1,0.6000000000000001,47.799999999999976
100,100,47.600000000000016,1,0.8,52.399999999999984
120,120,59.20000000000002,1,0.4,60.79999999999998
140,140,69.19999999999997,1,0.6000000000000001,70.80000000000001
170,170,87.09999999999988,1,0.5,82.9000000000001
200,200,111.7,1,0.9,88.29999999999998
250,250,157.40000000000006,1,1.0,92.59999999999994
300,300,204.50000000000006,1,1.0,95.49999999999996
400,400,299.90000000000003,1,1.0,100.09999999999995
500,500,397.40000000000003,1,0.7000000000000001,102.59999999999995
600,600,495.40000000000003,1,1.0,104.59999999999995
700,700,595.4000000000001,1,1.0,104.59999999999995
800,800,695.4000000000001,1,1.0,104.59999999999995
900,900,795.0000000000001,1,1.0,104.99999999999996
1000,1000,892.9000000000001,1,1.0,107.09999999999995
1200,1200,1090.9,1,1.0,109.09999999999995
1400,1400,1287.9000000000003,1,1.0,112.09999999999994
1700,1700,1586.8000000000002,1,1.0,113.19999999999995
2000,2000,1886.8000000000002,1,1.0,113.19999999999995
2500,2500,2386.7000000000003,1,1.0,113.29999999999994
3000,3000,2885.7000000000003,1,1.0,114.29999999999994
4000,4000,3885.7000000000003,1,1.0,114.29999999999994
5000,5000,4884.0,1,1.0,115.99999999999994
6000,6000,5883.4,1,1.0,116.59999999999994
7000,7000,6882.999999999999,1,1.0,116.99999999999993
8000,8000,7881.9,1,1.0,118.09999999999994
9000,9000,8881.599999999999,1,1.0,118.39999999999993
10000,10000,9881.299999999997,1,1.0,118.69999999999992
