steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,1.1,1,0.1,0.9
3,3,1.7000000000000002,1,0.6000000000000001,1.2999999999999998
4,4,2.1,1,0.4,1.9
5,5,2.7,1,0.6000000000000001,2.3
6,6,3.0,1,0.30000000000000004,3.0
7,7,3.4,1,0.4,3.6
8,8,3.5,1,0.1,4.5
9,9,4.4,1,0.9,4.6
10,10,5.0,1,0.6000000000000001,5.0
12,12,6.2,1,0.9,5.8
14,14,7.4,1,0.4,6.6
17,17,9.600000000000001,1,1.0,7.3999999999999995
20,20,10.6,1,0.7000000000000001,9.4
25,25,11.599999999999998,1,0.6000000000000001,13.400000000000002
30,30,13.699999999999998,1,0.1,16.3
40,40,18.59999999999999,1,1.0,21.400000000000006
50,50,22.999999999999986,1,0.2,27.00000000000001
60,60,27.69999999999999,1,0.6000000000000001,32.30000000000001
70,70,33.29999999999999,1,0.0,36.7
80,80,37.599999999999994,1,0.30000000000000004,42.4
90,90,44.499999999999986,1,0.8,45.50000000000001
100,100,49.79999999999998,1,1.0,50.20000000000001
120,120,57.3,1,0.4,62.699999999999996
140,140,69.80000000000001,1,0.4,70.19999999999997
170,170,84.8,1,0.0,85.19999999999999
200,200,97.5,1,0.8,102.49999999999999
250,250,121.4,1,0.1,128.59999999999997
300,300,144.20000000000005,1,0.1,155.79999999999993
400,400,194.40000000000012,1,0.30000000000000004,205.59999999999985
500,500,247.50000000000006,1,0.5,252.49999999999991
600,600,297.90000000000015,1,1.0,302.0999999999998
700,700,350.6000000000002,1,1.0,349.39999999999975
800,800,399.4000000000003,1,0.9,400.5999999999996
900,900,452.50000000000034,1,0.6000000000000001,447.4999999999996
1000,1000,502.3000000000005,1,0.2,497.6999999999994
1200,1200,604.1000000000006,1,0.8,595.8999999999994
1400,1400,701.8,1,0.6000000000000001,698.2
1700,1700,861.0000000000008,1,0.1,838.9999999999992
2000,2000,1010.7000000000015,1,0.2,989.2999999999985
2500,2500,1272.3,1,0.2,1227.6999999999998
3000,3000,1528.8999999999983,1,0.5,1471.1000000000015
4000,4000,2059.0999999999985,1,0.1,1940.9000000000008
5000,5000,2567.4999999999964,1,0.6000000000000001,2432.500000000005
6000,6000,3088.099999999989,1,0.4,2911.9000000000124
7000,7000,3581.0999999999817,1,0.8,3418.9000000000196
8000,8000,4099.19999999998,1,0.2,3900.800000000022
9000,9000,4621.399999999986,1,0.30000000000000004,4378.60000000002
10000,10000,5145.100000000008,1,0.1,4854.899999999999
