steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.9,1,0.9,0.09999999999999998
2,2,1.8,1,0.9,0.19999999999999996
3,3,2.7,1,0.9,0.29999999999999993
4,4,3.6,1,0.9,0.3999999999999999
5,5,4.5,1,0.9,0.4999999999999999
6,6,5.4,1,0.9,0.5999999999999999
7,7,6.300000000000001,1,0.9,0.6999999999999998
8,8,7.200000000000001,1,0.9,0.7999999999999998
9,9,8.100000000000001,1,0.9,0.8999999999999998
10,10,9.000000000000002,1,0.9,0.9999999999999998
12,12,10.000000000000002,1,0.9,2.0
14,14,11.500000000000002,1,0.6000000000000001,2.5
17,17,13.600000000000003,1,0.30000000000000004,3.4000000000000004
20,20,16.300000000000004,1,0.9,3.7000000000000006
25,25,20.799999999999997,1,0.9,4.2
30,30,25.09999999999999,1,0.9,4.899999999999999
40,40,33.39999999999998,1,0.8,6.599999999999996
50,50,42.39999999999996,1,0.9,7.5999999999999925
60,60,50.89999999999995,1,0.9,9.099999999999989
70,70,59.399999999999935,1,0.9,10.599999999999985
80,80,68.39999999999995,1,0.9,11.599999999999982
90,90,77.4,1,0.9,12.599999999999978
100,100,85.50000000000006,1,0.9,14.499999999999977
120,120,102.90000000000016,1,0.9,17.099999999999977
140,140,120.80000000000027,1,0.8,19.200000000000003
170,170,147.80000000000044,1,0.9,22.200000000000045
200,200,174.8000000000006,1,0.9,25.200000000000088
250,250,219.20000000000087,1,0.9,30.800000000000153
300,300,263.40000000000106,1,1.0,36.60000000000019
400,400,359.5000000000011,1,1.0,40.5000000000002
500,500,458.0000000000011,1,0.8,42.0000000000002
600,600,552.600000000001,1,1.0,47.4000000000002
700,700,650.600000000001,1,1.0,49.4000000000002
800,800,749.100000000001,1,1.0,50.9000000000002
900,900,846.100000000001,1,1.0,53.9000000000002
1000,1000,945.7000000000011,1,1.0,54.300000000000196
1200,1200,1139.1000000000006,1,1.0,60.9000000000002
1400,1400,1329.5000000000002,1,1.0,70.50000000000021
1700,1700,1626.6000000000001,1,1.0,73.40000000000022
2000,2000,1918.1999999999998,1,1.0,81.80000000000024
2500,2500,2404.0999999999995,1,1.0,95.90000000000023
3000,3000,2888.5,1,1.0,111.50000000000023
4000,4000,3869.900000000001,1,1.0,130.1000000000002
5000,5000,4850.900000000002,1,1.0,149.1000000000001
6000,6000,5826.700000000003,1,1.0,173.30000000000015
7000,7000,6803.300000000001,1,0.0,196.70000000000022
8000,8000,7770.599999999999,1,1.0,229.4000000000002
9000,9000,8744.700000000004,1,1.0,255.30000000000024
10000,10000,9715.700000000003,1,1.0,284.30000000000035
