steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.0,1,0.0,2.0
3,3,0.0,1,0.0,3.0
4,4,0.0,1,0.0,4.0
5,5,0.0,1,0.0,5.0
6,6,0.0,1,0.0,6.0
7,7,0.0,1,0.0,7.0
8,8,0.0,1,0.0,8.0
9,9,0.0,1,0.0,9.0
10,10,0.0,1,0.0,10.0
12,12,0.9,1,0.0,11.1
14,14,1.5,1,0.6000000000000001,12.5
17,17,1.8,1,0.30000000000000004,15.2
20,20,1.8,1,0.0,18.2
25,25,1.8,1,0.0,23.2
30,30,2.0,1,0.0,28.0
40,40,2.6999999999999997,1,0.4,37.300000000000004
50,50,2.6999999999999997,1,0.0,47.300000000000004
60,60,3.5,1,0.0,56.50000000000001
70,70,4.3,1,0.0,65.70000000000002
80,80,4.3,1,0.0,75.70000000000002
90,90,4.3,1,0.0,85.70000000000002
100,100,5.2,1,0.0,94.80000000000001
120,120,15.100000000000009,1,0.8,104.90000000000002
140,140,30.70000000000002,1,0.4,109.30000000000007
170,170,54.69999999999994,1,0.8,115.30000000000015
200,200,78.69999999999986,1,0.8,121.30000000000024
250,250,118.29999999999971,1,0.8,131.70000000000013
300,300,158.99999999999997,1,0.9,140.99999999999972
400,400,244.40000000000052,1,0.9,155.59999999999917
500,500,341.9000000000005,1,0.4,158.09999999999917
600,600,437.2000000000006,1,1.0,162.7999999999992
700,700,536.0000000000007,1,1.0,163.99999999999918
800,800,632.6000000000007,1,1.0,167.39999999999918
900,900,731.4000000000007,1,1.0,168.59999999999917
1000,1000,829.6000000000007,1,1.0,170.39999999999918
1200,1200,1024.9000000000005,1,1.0,175.09999999999914
1400,1400,1218.400000000001,1,1.0,181.5999999999991
1700,1700,1512.2000000000012,1,1.0,187.7999999999991
2000,2000,1806.2000000000014,1,1.0,193.79999999999907
2500,2500,2293.000000000001,1,1.0,206.99999999999906
3000,3000,2776.4000000000005,1,1.0,223.59999999999908
4000,4000,3751.000000000001,1,1.0,248.99999999999906
5000,5000,4724.000000000002,1,1.0,275.99999999999903
6000,6000,5701.800000000002,1,1.0,298.199999999999
7000,7000,6683.100000000001,1,1.0,316.89999999999907
8000,8000,7654.900000000003,1,1.0,345.09999999999894
9000,9000,8625.500000000007,1,1.0,374.4999999999988
10000,10000,9591.70000000001,1,1.0,408.2999999999989
