steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,33.0,34,33.0,33.0,33.0
66,2,64.0,32,31.0,64.0,33.0
97,3,94.0,31,30.0,94.0,33.0
127,4,123.0,30,29.0,123.0,33.0
160,5,155.0,33,32.0,155.0,33.0
189,6,183.0,29,28.0,183.0,33.0
218,7,211.0,29,28.0,211.0,33.0
249,8,241.0,31,30.0,241.0,33.0
281,9,272.0,32,31.0,272.0,33.0
310,10,300.0,29,28.0,300.0,33.0
375,12,363.0,32,31.0,363.0,33.0
432,14,418.0,28,27.0,418.0,33.0
527,17,510.0,32,31.0,510.0,33.0
627,20,607.0,35,34.0,607.0,34.0
1016,25,991.0,67,66.0,991.0,99.0
1558,30,1528.0,118,117.0,1528.0,135.0
2742,40,2702.0,146,145.0,2702.0,177.0
4749,50,4699.0,211,210.0,4699.0,283.0
6890,60,6830.0,242,241.0,6830.0,283.0
9207,70,9137.0,245,244.0,9137.0,283.0
11700,80,11620.0,249,248.0,11620.0,293.0
14720,90,14630.0,337,336.0,14630.0,381.0
17201,100,17101.0,234,233.0,17101.0,404.0
22420,120,22300.0,257,256.0,22300.0,404.0
36323,140,36191.0,1001,1001.0,36191.0,1001.0
63335,170,63198.0,1001,1001.0,63198.0,1001.0
89545,200,89404.0,1001,1001.0,89404.0,1001.0
117410,250,117238.0,132,131.0,117238.0,1001.0
156218,300,156025.0,35,34.0,156025.0,1001.0
205901,400,205635.0,862,861.0,205635.0,1001.0
272682,500,272354.0,749,748.0,272354.0,1001.0
345069,600,344695.0,421,420.0,344695.0,1001.0
424009,700,423603.0,152,151.0,423603.0,1001.0
510273,800,509837.0,1001,1001.0,509837.0,1001.0
554785,900,554265.0,1001,1001.0,554265.0,1001.0
618046,1000,617448.0,796,795.0,617448.0,1001.0
