steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,33.81882924669946,34,33.81882924669946,33.0,33.0
66,2,64.56759905183695,32,30.748769805137492,64.0,33.0
95,3,92.19367544969897,29,27.626076397862008,92.0,33.0
126,4,122.49098823337104,31,30.297312783672115,122.0,33.0
158,5,153.2707016352773,32,30.779713401906193,153.0,33.0
188,6,181.8806339288395,30,28.609932293562164,182.0,33.0
217,7,209.19654854863145,29,27.31591461979204,210.0,33.0
252,8,243.1204434241583,35,33.923894875526834,244.0,34.0
282,9,271.749374312334,30,28.628930888175756,273.0,34.0
312,10,301.30502963386067,30,29.555655321526643,302.0,34.0
378,12,364.1601101090567,32,30.374671377844955,366.0,34.0
439,14,422.4528163224039,30,28.879106784814567,425.0,34.0
536,17,517.6324894448866,30,29.609251286634336,519.0,34.0
653,20,632.0190791334484,45,44.06933458941611,633.0,44.0
1070,25,1042.2255980736768,33,30.50137011436996,1045.0,146.0
1287,30,1254.3092935733866,37,34.85116656980018,1257.0,146.0
2147,40,2107.604029069869,108,107.23366260987511,2107.0,146.0
4692,50,4640.64198854129,286,283.2524657524443,4642.0,414.0
9637,60,9569.236699760466,662,657.6577473775727,9577.0,927.0
14817,70,14728.440733362084,501,497.50298506494073,14748.0,1001.0
19151,80,19049.03993702716,441,439.87502893261353,19072.0,1001.0
25411,90,25292.733237051074,438,434.7292254972903,25323.0,1001.0
30098,100,29964.50063175215,168,166.62337533429726,30003.0,1001.0
35902,120,35733.316912428316,402,397.9587662725382,35787.0,1001.0
43370,140,43181.629365191984,190,188.3569142205282,43235.0,1001.0
57988,170,57773.17208079152,420,421.5679482082403,57826.0,1001.0
80258,200,80026.38389421727,1001,1002.4874485522386,80082.0,1001.0
122407,250,122146.61659289546,1001,1001.4168469842309,122213.0,1001.0
163077,300,162804.25431862625,1001,1001.3538987615254,162864.0,1001.0
231619,400,231277.9324218245,1001,1004.2999643358286,231351.0,1001.0
298367,500,297913.29789120716,1001,1002.368413978076,298023.0,1001.0
371378,600,370876.81415787153,149,147.47021495382342,370981.0,1001.0
441801,700,441268.8442655496,36,34.62445672544678,441354.0,1001.0
519223,800,518617.5593030152,632,629.3009247764022,518735.0,1001.0
586865,900,586206.3913069448,833,832.4611885283741,586318.0,1001.0
648862,1000,648126.7282928876,977,975.0228386285768,648246.0,1001.0
