steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,0.03300000000000002,34,0.03300000000000002,33.0,33.0
67,2,0.06500000000000004,33,0.03200000000000002,65.0,33.0
97,3,0.09400000000000007,30,0.02900000000000002,94.0,33.0
172,4,0.16800000000000012,75,0.07400000000000005,168.0,74.0
203,5,0.19800000000000015,31,0.03000000000000002,198.0,74.0
256,6,0.25000000000000017,53,0.05200000000000004,250.0,74.0
295,7,0.2880000000000002,39,0.03800000000000003,288.0,74.0
329,8,0.32100000000000023,34,0.03300000000000002,321.0,74.0
446,9,0.43700000000000033,117,0.11600000000000009,437.0,116.0
580,10,0.5700000000000004,134,0.1330000000000001,570.0,133.0
753,12,0.7410000000000005,80,0.07900000000000006,741.0,133.0
917,14,0.9030000000000007,82,0.08100000000000006,903.0,133.0
1076,17,1.0589999999999942,56,0.05500000000000004,1059.0,133.0
1212,20,1.1919999999999795,48,0.047000000000000035,1192.0,133.0
3076,25,3.050999999999775,300,0.2990000000000002,3051.0,614.0
3946,30,3.9159999999996797,170,0.16900000000000012,3916.0,614.0
6732,40,6.6920000000005695,391,0.3900000000000003,6692.0,648.0
10053,50,10.002999999999895,248,0.2470000000000002,10003.0,648.0
12365,60,12.30499999999862,290,0.2890000000000002,12305.0,648.0
16256,70,16.1859999999968,675,0.6740000000000005,16186.0,674.0
19616,80,19.536000000000893,167,0.16600000000000012,19536.0,784.0
21362,90,21.272000000003015,232,0.23100000000000018,21272.0,784.0
25050,100,24.95000000000751,307,0.3060000000000002,24950.0,784.0
32109,120,31.990000000016114,270,0.2690000000000002,31990.0,1001.0
38495,140,38.35700000000131,62,0.06100000000000005,38357.0,1001.0
46981,170,46.8139999999816,219,0.21800000000000017,46814.0,1001.0
56575,200,56.37799999995931,45,0.04400000000000003,56378.0,1001.0
74792,250,74.54599999999189,137,0.1360000000000001,74546.0,1001.0
88029,300,87.73400000005486,29,0.028000000000000018,87734.0,1001.0
132033,400,131.65000000026455,979,0.9780000000000008,131650.0,1001.0
175328,500,174.85700000047086,278,0.2770000000000002,174857.0,1001.0
221914,600,221.35300000069287,154,0.1530000000000001,221353.0,1001.0
262937,700,262.29300000070947,62,0.06100000000000005,262293.0,1001.0
315175,800,314.4429999994763,36,0.035000000000000024,314443.0,1001.0
342834,900,342.00799999882446,31,0.03000000000000002,342008.0,1001.0
363838,1000,362.91599999833005,73,0.07200000000000005,362916.0,1001.0
