steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
36,1,-0.005277777777777778,36,-0.005277777777777778,1,0
72,2,-0.010555555555555556,36,-0.005277777777777778,2,0
108,3,-0.015833333333333335,36,-0.005277777777777778,3,0
144,4,-0.02194444444444441,36,-0.006111111111111111,4,0
180,5,-0.02694444444444438,36,-0.005,5,0
216,6,-0.033888888888888816,36,-0.006944444444444445,6,0
252,7,-0.039999999999999966,36,-0.006111111111111111,7,0
288,8,-0.04555555555555556,36,-0.005555555555555556,8,0
324,9,-0.05055555555555559,36,-0.005,9,0
360,10,-0.05555555555555562,36,-0.005,10,0
432,12,-0.06611111111111125,36,-0.004166666666666667,12,0
504,14,0.3483637789940198,36,-0.004722222222222222,14,0
612,17,1.4851122682860263,36,-0.005555555555555556,17,0
720,20,5.016746457602034,36,2.136725573141766,20,0
900,25,4.007407548042267,36,-0.005,24,0
1080,30,4.463555587658814,36,-0.2446597783812751,29,0
1440,40,4.758111794909747,36,0.3187762399352194,39,0
1800,50,3.857934448793379,36,-0.005277777777777778,49,0
2160,60,1.9032497568465971,36,-0.5993740800268641,58,0
2520,70,3.6603743432001186,36,0.6794853666180034,66,0
2880,80,5.200356195912525,36,0.4206847787446152,76,0
3240,90,5.818204742660471,36,0.37531937652769065,86,0
3600,100,8.029312438069825,36,-1.4937707798017825,96,0
4320,120,7.8273195131765725,36,-0.26049692450322054,116,0
5040,140,14.429463603434021,36,0.9301126490028403,136,0
6120,170,15.708267398724336,36,0.6997133051981017,165,0
7200,200,20.85996252457147,36,-0.7590926718513229,194,0
9000,250,16.729381663199923,36,0.7984091468351768,243,0
10800,300,23.208503841934245,36,0.18339039203713547,293,0
14400,400,26.46912898542506,36,-1.8215866161668497,390,0
18000,500,22.176638546898644,36,-1.1401331713568026,485,0
21600,600,19.920517804419468,36,-0.0007855706126664334,581,0
25200,700,16.77587081016933,36,-0.005,679,0
28800,800,13.771967737303191,36,-0.004722222222222222,777,0
32400,900,13.816276054613414,36,-0.006388888888888889,875,0
36000,1000,14.057543158636003,36,-0.005833333333333334,971,0
43200,1200,28.932637570384475,36,-0.22079482276792248,1165,0
50400,1400,39.055942895871155,36,0.2926875545917223,1359,0
61200,1700,36.655790468523506,36,0.9120514788678935,1649,0
72000,2000,31.476455869729097,36,-0.005,1941,0
90000,2500,41.58485728357085,36,-0.003888888888888889,2425,0
108000,3000,39.138852469846476,36,-0.006111111111111111,2907,0
144000,4000,26.804782948250576,36,1.0395937290223187,3876,0
180000,5000,12.875642775404446,36,-0.0044444444444444444,4840,0
216000,6000,-1.6151513832507773,36,-0.006388888888888889,5815,0
252000,7000,-10.428439709744827,36,-1.8286236248646663,6792,0
288000,8000,-4.228440177202929,36,-0.004166666666666667,7764,0
324000,9000,-2.1100349883829947,36,0.7913231651259762,8730,0
360000,10000,2.841367543773414,36,-0.005833333333333334,9705,0
