steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-8.0,1,1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-16.0,1,-1.0,36.0
25,25,-21.0,1,-1.0,46.0
30,30,-24.0,1,1.0,54.0
40,40,-32.0,1,-1.0,72.0
50,50,-40.0,1,-1.0,90.0
60,60,-50.0,1,-1.0,110.0
70,70,-50.0,1,1.0,120.0
80,80,-56.0,1,-1.0,136.0
90,90,-66.0,1,-1.0,156.0
100,100,-74.0,1,-1.0,174.0
120,120,-92.0,1,-1.0,212.0
140,140,-108.0,1,1.0,248.0
170,170,-134.0,1,-1.0,304.0
200,200,-150.0,1,-1.0,350.0
250,250,-186.0,1,-1.0,436.0
300,300,-230.0,1,-1.0,530.0
400,400,-300.0,1,-1.0,700.0
500,500,-376.0,1,-1.0,876.0
600,600,-436.0,1,-1.0,1036.0
700,700,-512.0,1,-1.0,1212.0
800,800,-582.0,1,-1.0,1382.0
900,900,-650.0,1,-1.0,1550.0
1000,1000,-714.0,1,-1.0,1714.0
1200,1200,-862.0,1,-1.0,2062.0
1400,1400,-986.0,1,-1.0,2386.0
1700,1700,-1184.0,1,-1.0,2884.0
2000,2000,-1370.0,1,-1.0,3370.0
2500,2500,-1674.0,1,1.0,4174.0
3000,3000,-1970.0,1,-1.0,4970.0
4000,4000,-2540.0,1,-1.0,6540.0
