steps,episode,total_return,episode_len,episode_return,raw_return
349,1,-349000.0,349,-349000.0,-349.0
548,2,-548000.0,199,-199000.0,-548.0
893,3,-893000.0,345,-345000.0,-893.0
1331,4,-1331000.0,438,-438000.0,-1331.0
1451,5,-1451000.0,120,-120000.0,-1451.0
1929,6,-1929000.0,478,-478000.0,-1929.0
2929,7,-2929000.0,1000,-1000000.0,-2929.0
3880,8,-3880000.0,951,-951000.0,-3880.0
4880,9,-4880000.0,1000,-1000000.0,-4880.0
5880,10,-5880000.0,1000,-1000000.0,-5880.0
7091,12,-7091000.0,1000,-1000000.0,-7091.0
8103,14,-8103000.0,742,-742000.0,-8103.0
10995,17,-10995000.0,892,-892000.0,-10995.0
12816,20,-12816000.0,624,-624000.0,-12816.0
17294,25,-17294000.0,1000,-1000000.0,-17294.0
22294,30,-22294000.0,1000,-1000000.0,-22294.0
32294,40,-32294000.0,1000,-1000000.0,-32294.0
42294,50,-42294000.0,1000,-1000000.0,-42294.0
51294,60,-51294000.0,1000,-1000000.0,-51294.0
60509,70,-60509000.0,1000,-1000000.0,-60509.0
69234,80,-69234000.0,164,-164000.0,-69234.0
77248,90,-77248000.0,264,-264000.0,-77248.0
83512,100,-83512000.0,1000,-1000000.0,-83512.0
98658,120,-98658000.0,1000,-1000000.0,-98658.0
118658,140,-118658000.0,1000,-1000000.0,-118658.0
143627,170,-143627000.0,1000,-1000000.0,-143627.0
172035,200,-172035000.0,697,-697000.0,-172035.0
211398,250,-211398000.0,1000,-1000000.0,-211398.0
254972,300,-254972000.0,1000,-1000000.0,-254972.0
318192,400,-318192000.0,166,-166000.0,-318192.0
383100,500,-383100000.0,237,-237000.0,-383100.0
420592,600,-420592000.0,568,-568000.0,-420592.0
461901,700,-461901000.0,185,-185000.0,-461901.0
491751,800,-491751000.0,147,-147000.0,-491751.0
506610,900,-506610000.0,144,-144000.0,-506610.0
525623,1000,-525623000.0,185,-185000.0,-525623.0
