steps,episode,total_return,episode_len,episode_return,total_regret
20,1,2.0,20,2.0,0.0
40,2,0.0,20,-2.0,0.0
60,3,4.0,20,4.0,0.0
80,4,0.0,20,-4.0,0.0
100,5,-4.0,20,-4.0,0.0
120,6,-6.0,20,-2.0,0.0
140,7,-10.0,20,-4.0,2.0
160,8,-16.0,20,-6.0,4.0
180,9,-22.0,20,-6.0,4.0
200,10,-26.0,20,-4.0,4.0
240,12,-22.0,20,4.0,4.0
280,14,-14.0,20,6.0,4.0
340,17,-8.0,20,4.0,8.0
400,20,-24.0,20,-4.0,14.0
500,25,-28.0,20,2.0,24.0
600,30,-38.0,20,-8.0,30.0
800,40,-52.0,20,-8.0,38.0
1000,50,-36.0,20,0.0,52.0
1200,60,-52.0,20,-6.0,64.0
1400,70,-82.0,20,-6.0,78.0
1600,80,-116.0,20,2.0,86.0
1800,90,-118.0,20,-4.0,96.0
2000,100,-106.0,20,2.0,110.0
2400,120,-56.0,20,-2.0,124.0
2800,140,-36.0,20,-4.0,140.0
3400,170,-86.0,20,-6.0,168.0
4000,200,-86.0,20,2.0,196.0
5000,250,-62.0,20,-2.0,236.0
6000,300,-98.0,20,-6.0,298.0
8000,400,-180.0,20,4.0,404.0
10000,500,-172.0,20,-4.0,510.0
12000,600,-156.0,20,0.0,592.0
14000,700,-106.0,20,-6.0,670.0
16000,800,-42.0,20,12.0,732.0
18000,900,16.0,20,6.0,798.0
20000,1000,34.0,20,-6.0,858.0
24000,1200,204.0,20,2.0,972.0
28000,1400,242.0,20,2.0,1072.0
34000,1700,386.0,20,-2.0,1274.0
40000,2000,488.0,20,0.0,1444.0
50000,2500,736.0,20,10.0,1828.0
60000,3000,842.0,20,0.0,2098.0
80000,4000,1608.0,20,0.0,2596.0
100000,5000,2296.0,20,-2.0,3034.0
120000,6000,2836.0,20,8.0,3478.0
140000,7000,3456.0,20,0.0,4022.0
160000,8000,3742.0,20,0.0,4656.0
180000,9000,4254.0,20,-2.0,5104.0
200000,10000,4626.0,20,-4.0,5552.0
