steps,episode,total_return,episode_len,episode_return,total_regret
50,1,6.0,50,6.0,2.0
100,2,4.0,50,-2.0,4.0
150,3,8.0,50,4.0,6.0
200,4,8.0,50,0.0,6.0
250,5,10.0,50,2.0,6.0
300,6,12.0,50,2.0,8.0
350,7,12.0,50,0.0,8.0
400,8,20.0,50,8.0,10.0
450,9,24.0,50,4.0,12.0
500,10,18.0,50,-6.0,14.0
600,12,18.0,50,-2.0,18.0
700,14,16.0,50,2.0,20.0
850,17,-2.0,50,-12.0,24.0
1000,20,6.0,50,4.0,26.0
1250,25,-18.0,50,-6.0,36.0
1500,30,-42.0,50,-4.0,44.0
2000,40,-28.0,50,-10.0,56.0
2500,50,-12.0,50,2.0,64.0
3000,60,-58.0,50,-4.0,80.0
3500,70,-68.0,50,0.0,86.0
4000,80,-52.0,50,6.0,96.0
4500,90,-22.0,50,2.0,104.0
5000,100,-8.0,50,-14.0,110.0
6000,120,32.0,50,-4.0,128.0
7000,140,44.0,50,8.0,152.0
8500,170,22.0,50,-4.0,186.0
10000,200,102.0,50,-10.0,208.0
12500,250,62.0,50,-4.0,260.0
15000,300,134.0,50,0.0,314.0
20000,400,44.0,50,-14.0,414.0
25000,500,-44.0,50,-6.0,534.0
30000,600,110.0,50,-2.0,642.0
35000,700,-22.0,50,-6.0,736.0
40000,800,-2.0,50,2.0,852.0
45000,900,188.0,50,2.0,968.0
50000,1000,110.0,50,-12.0,1070.0
60000,1200,248.0,50,0.0,1264.0
70000,1400,332.0,50,4.0,1492.0
85000,1700,438.0,50,2.0,1798.0
100000,2000,342.0,50,14.0,2070.0
125000,2500,424.0,50,8.0,2536.0
150000,3000,434.0,50,-12.0,3008.0
200000,4000,520.0,50,-10.0,3864.0
250000,5000,1038.0,50,-2.0,4740.0
300000,6000,1130.0,50,-2.0,5552.0
350000,7000,1554.0,50,-4.0,6416.0
400000,8000,1862.0,50,-4.0,7306.0
450000,9000,2372.0,50,-6.0,8170.0
500000,10000,2350.0,50,4.0,9090.0
