steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.6000000000000001,1,0.6000000000000001,0.3999999999999999
2,2,1.2000000000000002,1,0.6000000000000001,0.7999999999999998
3,3,1.8000000000000003,1,0.6000000000000001,1.1999999999999997
4,4,2.4000000000000004,1,0.6000000000000001,1.5999999999999996
5,5,3.1000000000000005,1,0.7000000000000001,1.8999999999999995
6,6,3.8000000000000007,1,0.7000000000000001,2.1999999999999993
7,7,4.000000000000001,1,0.2,2.999999999999999
8,8,4.600000000000001,1,0.6000000000000001,3.399999999999999
9,9,5.200000000000001,1,0.6000000000000001,3.799999999999999
10,10,5.800000000000001,1,0.6000000000000001,4.199999999999999
12,12,7.200000000000001,1,0.6000000000000001,4.799999999999999
14,14,7.800000000000001,1,0.0,6.199999999999999
17,17,8.4,1,0.6000000000000001,8.6
20,20,10.2,1,0.6000000000000001,9.8
25,25,12.999999999999998,1,0.6000000000000001,12.000000000000002
30,30,14.999999999999996,1,0.2,15.000000000000004
40,40,20.500000000000004,1,0.6000000000000001,19.499999999999996
50,50,26.80000000000001,1,0.0,23.19999999999999
60,60,32.20000000000002,1,0.6000000000000001,27.79999999999998
70,70,37.60000000000002,1,0.30000000000000004,32.39999999999998
80,80,42.900000000000034,1,1.0,37.099999999999966
90,90,48.50000000000005,1,0.6000000000000001,41.49999999999995
100,100,55.50000000000006,1,1.0,44.49999999999994
120,120,68.60000000000005,1,1.0,51.39999999999993
140,140,87.30000000000005,1,0.6000000000000001,52.699999999999925
170,170,114.00000000000004,1,1.0,55.999999999999936
200,200,140.4000000000001,1,1.0,59.599999999999945
250,250,185.4000000000001,1,0.7000000000000001,64.59999999999995
300,300,230.80000000000013,1,1.0,69.19999999999995
400,400,320.1000000000001,1,1.0,79.89999999999993
500,500,404.3,1,0.30000000000000004,95.69999999999992
600,600,493.39999999999986,1,0.8,106.59999999999988
700,700,586.3999999999999,1,1.0,113.5999999999999
800,800,676.9999999999997,1,0.9,122.99999999999986
900,900,766.0999999999995,1,1.0,133.89999999999984
1000,1000,857.1999999999991,1,1.0,142.79999999999976
1200,1200,1026.399999999999,1,1.0,173.59999999999974
1400,1400,1205.199999999999,1,1.0,194.79999999999973
1700,1700,1475.1999999999996,1,1.0,224.79999999999964
2000,2000,1742.5999999999992,1,1.0,257.3999999999996
2500,2500,2182.800000000001,1,1.0,317.1999999999998
3000,3000,2622.300000000001,1,0.7000000000000001,377.70000000000005
4000,4000,3507.500000000006,1,1.0,492.50000000000097
5000,5000,4399.400000000005,1,1.0,600.6000000000025
6000,6000,5292.499999999997,1,1.0,707.5000000000042
7000,7000,6192.999999999981,1,1.0,807.0000000000052
8000,8000,7084.499999999964,1,1.0,915.5000000000073
9000,9000,7988.999999999958,1,0.9,1011.0000000000073
10000,10000,8890.699999999932,1,1.0,1109.3000000000034
