steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.707126826292078,1,0.707126826292078,0.19999999999999996
2,2,1.3908507751354922,1,0.6837239488434141,0.3999999999999999
3,3,2.189089106444158,1,0.7982383313086658,0.5999999999999999
4,4,3.158218223241932,1,0.9691291167977738,0.7999999999999998
5,5,4.129016452721398,1,0.9707982294794668,1.1999999999999997
6,6,4.528602485751193,1,0.3995860330297951,1.5999999999999996
7,7,4.655825648907328,1,0.1272231631561344,2.1999999999999997
8,8,5.082271625486428,1,0.42644597657910077,2.3999999999999995
9,9,5.9006343356682365,1,0.8183627101818078,2.5999999999999996
10,10,7.0193634627657815,1,1.118729127097545,2.8
12,12,8.533976391660419,1,1.25023556097532,3.7
14,14,9.797999028310743,1,0.544984547551803,4.2
17,17,12.409538748836797,1,1.2338461374817753,5.0
20,20,14.486902076901817,1,0.9799600221461171,5.6000000000000005
25,25,17.378716397184952,1,0.8789488420301501,7.300000000000002
30,30,22.249908358916016,1,0.8820541934281834,8.8
40,40,30.540806184632697,1,1.1393731942020682,11.899999999999995
50,50,37.79825047891876,1,0.3607907635302762,14.19999999999999
60,60,44.51621277639262,1,0.9317511899956739,16.599999999999987
70,70,52.226456017006576,1,0.8509370720421217,19.799999999999983
80,80,60.01686748743619,1,1.1146388101896,22.799999999999983
90,90,68.11384566070693,1,0.9130789837525635,25.199999999999978
100,100,76.94926778195006,1,1.1779447928496667,27.499999999999975
120,120,94.37477870005232,1,1.0935950110277715,31.499999999999964
140,140,111.42110963664649,1,1.289290994815667,35.09999999999998
170,170,139.23115497742714,1,1.220848829866613,38.9
200,200,164.61717485746865,1,0.7177873648716631,41.2
250,250,202.7725770865431,1,0.8418787844057234,50.60000000000003
300,300,244.17988714595936,1,0.9246020992522251,59.50000000000007
400,400,328.04308972080815,1,1.1136883125721964,76.00000000000003
500,500,412.2971573667522,1,0.08272712495178441,89.89999999999996
600,600,494.20713555760636,1,0.014686501376626304,102.7
700,700,583.2538981020767,1,1.0250015899117266,114.09999999999994
800,800,667.6192581686619,1,0.7980549847205229,126.79999999999995
900,900,752.4005244752121,1,0.9802281879632682,140.8999999999999
1000,1000,843.950725254223,1,0.871488974534041,150.8999999999998
1200,1200,1023.813945950494,1,0.3129022202589031,171.79999999999956
1400,1400,1200.532601927717,1,0.46739766781497505,193.2999999999994
1700,1700,1469.4387487410986,1,1.2176567610254891,221.9999999999992
2000,2000,1737.063514001017,1,1.0380273296617877,255.39999999999912
2500,2500,2186.772405283112,1,1.2345495858111826,307.09999999999934
3000,3000,2637.687726968133,1,0.7580855592615503,359.69999999999976
4000,4000,3528.7615500809143,1,0.6754709245240178,457.90000000000083
5000,5000,4432.591592425766,1,0.7453656957563815,565.1000000000013
6000,6000,5351.705432744287,1,0.5487256540470216,672.4000000000026
7000,7000,6252.595505882024,1,1.1141703042899835,774.8000000000044
8000,8000,7145.367533923501,1,0.12360821626949368,885.5000000000056
9000,9000,8032.239946492332,1,1.3036754691400723,991.3000000000062
10000,10000,8922.424312137828,1,0.3239992888132509,1092.5000000000052
