steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1000.0,1,1000.0,0.0
2,2,2000.0,1,1000.0,0.0
3,3,3000.0,1,1000.0,0.0
4,4,4000.0,1,1000.0,0.0
5,5,4700.0,1,700.0000000000001,0.29999999999999993
6,6,5400.0,1,700.0000000000001,0.5999999999999999
7,7,6300.0,1,900.0,0.6999999999999998
8,8,7300.0,1,1000.0,0.6999999999999998
9,9,8300.0,1,1000.0,0.6999999999999998
10,10,9300.0,1,1000.0,0.6999999999999998
12,12,10400.0,1,1000.0,1.5999999999999999
14,14,11700.0,1,300.00000000000006,2.3
17,17,13300.0,1,1000.0,3.7
20,20,16300.0,1,1000.0,3.7
25,25,20300.0,1,1000.0,4.7
30,30,24500.0,1,900.0,5.5
40,40,33100.0,1,1000.0,6.8999999999999995
50,50,40600.0,1,300.00000000000006,9.399999999999999
60,60,49300.0,1,1000.0,10.699999999999998
70,70,57600.0,1,800.0,12.399999999999997
80,80,65700.0,1,500.0,14.299999999999995
90,90,75600.0,1,1000.0,14.399999999999995
100,100,83700.0,1,500.0,16.299999999999997
120,120,101900.0,1,1000.0,18.099999999999994
140,140,120200.0,1,1000.0,19.799999999999997
170,170,148000.0,1,1000.0,22.0
200,200,174900.0,1,1000.0,25.1
250,250,217700.0,1,1000.0,32.3
300,300,261500.0,1,500.0,38.49999999999999
400,400,349700.0,1,1000.0,50.30000000000001
500,500,436600.0,1,800.0,63.400000000000034
600,600,525200.0,1,900.0,74.80000000000003
700,700,610600.0,1,1000.0,89.40000000000003
800,800,701200.0,1,1000.0,98.80000000000001
900,900,786600.0,1,500.0,113.39999999999999
1000,1000,875800.0,1,1000.0,124.19999999999999
1200,1200,1057700.0,1,700.0000000000001,142.2999999999999
1400,1400,1233800.0,1,1000.0,166.19999999999985
1700,1700,1500700.0,1,1000.0,199.29999999999973
2000,2000,1768600.0,1,1000.0,231.3999999999996
2500,2500,2215500.0,1,1000.0,284.49999999999983
3000,3000,2667300.0,1,1000.0,332.70000000000056
4000,4000,3557200.0,1,200.0,442.8000000000014
5000,5000,4450500.0,1,1000.0,549.5000000000026
6000,6000,5346400.0,1,700.0000000000001,653.6000000000045
7000,7000,6244800.0,1,1000.0,755.2000000000052
8000,8000,7131600.0,1,500.0,868.4000000000061
9000,9000,8022300.0,1,1000.0,977.700000000007
10000,10000,8917400.0,1,600.0000000000001,1082.6000000000065
