steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
32,1,31.0,32,31.0,31.0,31.0
66,2,64.0,34,33.0,64.0,33.0
102,3,99.0,36,35.0,99.0,35.0
137,4,133.0,35,34.0,133.0,35.0
169,5,164.0,32,31.0,164.0,35.0
202,6,196.0,33,32.0,196.0,35.0
235,7,228.0,33,32.0,228.0,35.0
268,8,260.0,33,32.0,260.0,35.0
301,9,292.0,33,32.0,292.0,35.0
332,10,322.0,31,30.0,322.0,35.0
407,12,395.0,36,35.0,395.0,38.0
483,14,469.0,39,38.0,469.0,38.0
630,17,613.0,57,56.0,613.0,56.0
830,20,810.0,104,103.0,810.0,103.0
1334,25,1309.0,40,39.0,1309.0,136.0
1609,30,1579.0,35,34.0,1579.0,136.0
2919,40,2879.0,229,228.0,2879.0,228.0
7507,50,7459.0,1001,1001.0,7459.0,1001.0
16906,60,16852.0,1001,1001.0,16852.0,1001.0
26908,70,26853.0,1001,1001.0,26853.0,1001.0
34086,80,34026.0,243,242.0,34026.0,1001.0
43306,90,43240.0,1001,1001.0,43240.0,1001.0
51052,100,50979.0,286,285.0,50979.0,1001.0
62115,120,62024.0,559,558.0,62024.0,1001.0
77663,140,77560.0,620,619.0,77560.0,1001.0
96264,170,96141.0,165,164.0,96141.0,1001.0
112092,200,111950.0,37,36.0,111950.0,1001.0
145853,250,145685.0,1001,1001.0,145685.0,1001.0
182856,300,182665.0,1001,1001.0,182665.0,1001.0
263862,400,263624.0,1001,1001.0,263624.0,1001.0
326855,500,326554.0,913,912.0,326554.0,1001.0
399155,600,398796.0,400,399.0,398796.0,1001.0
477219,700,476811.0,810,809.0,476811.0,1001.0
545857,800,545397.0,1001,1001.0,545397.0,1001.0
606246,900,605723.0,1001,1001.0,605723.0,1001.0
680968,1000,680404.0,222,221.0,680404.0,1001.0
