steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,13.862129250901768,34,13.862129250901768,33.0,33.0
69,2,77.1506036429347,35,63.288474392032946,67.0,34.0
106,3,126.18436198040268,37,49.033758337468015,103.0,36.0
149,4,156.59567844658568,43,30.411316466183003,145.0,42.0
186,5,216.10283233687917,37,59.50715389029349,181.0,42.0
219,6,268.2053253235707,33,52.10249298669154,213.0,42.0
252,7,295.36553281580774,33,27.160207492237177,245.0,42.0
283,8,315.60579284073077,31,20.240260024923156,275.0,42.0
322,9,343.5459210897276,39,27.940128248996835,313.0,42.0
356,10,369.06105683778503,34,25.515135748057492,346.0,42.0
427,12,385.9984160862941,33,10.684228890005194,415.0,42.0
501,14,479.0894669127965,38,29.063186084643007,487.0,42.0
737,17,729.476480390663,152,161.58180105671212,720.0,151.0
843,20,848.9089056474487,44,43.29411983773974,823.0,151.0
1197,25,1123.3614698052133,62,75.14029048056564,1172.0,151.0
1612,30,1649.6456359060421,151,247.13482658468527,1582.0,151.0
4254,40,4053.62578336582,510,602.5686779704836,4214.0,534.0
10779,50,10653.744537141762,431,352.8021351261885,10729.0,724.0
14419,60,14413.006456070378,363,385.03365329423457,14359.0,724.0
17467,70,17636.001542820984,338,436.28677191041896,17397.0,724.0
20675,80,20924.053816091116,175,186.7033302229668,20595.0,724.0
23772,90,24113.7099086475,214,208.95862492929774,23682.0,774.0
26833,100,27279.20138038047,1001,1019.2485220504915,26734.0,1001.0
32526,120,32852.234954632106,304,351.96265252605434,32407.0,1001.0
41541,140,41035.12361758546,667,686.1517800279678,41403.0,1001.0
60521,170,60024.0535590015,1001,1135.4516586262807,60362.0,1001.0
81255,200,79875.46486748845,1001,990.1892496506993,81082.0,1001.0
117852,250,116142.10089325685,579,546.909542575591,117638.0,1001.0
149506,300,147495.60407325925,1001,844.9806807573884,149251.0,1001.0
222183,400,219754.12841696246,687,587.5803311049017,221873.0,1001.0
308399,500,306556.31397544156,1001,1096.0755832524908,308048.0,1001.0
385828,600,384443.8729714911,878,888.1406598928423,385413.0,1001.0
472132,700,470918.06155627395,749,624.1150455248584,471675.0,1001.0
549399,800,548915.5104886866,524,556.1073221168056,548883.0,1001.0
624308,900,624951.0742329655,1001,887.8226352090127,623743.0,1001.0
686604,1000,687575.0426852067,1001,1067.812907089234,685958.0,1001.0
