steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
32,1,-0.005,32,-0.005,1,0
64,2,-0.011562500000000005,32,-0.0065625000000000015,2,0
96,3,0.17682106124982164,32,0.18838356124982164,3,0
128,4,0.17213356124982174,32,-0.0046875,4,0
160,5,0.16775856124982183,32,-0.0043749999999999995,5,0
192,6,0.16338356124982192,32,-0.0043749999999999995,6,0
224,7,-0.7249178605873644,32,-0.8883014218371864,7,0
256,8,-0.057298435358965616,32,0.6676194252283993,8,0
288,9,-0.06167343535896562,32,-0.0043749999999999995,9,0
320,10,-0.06761093535896551,32,-0.005937500000000001,10,0
384,12,-0.07667343535896531,32,-0.005,12,0
448,14,-0.488446500070399,32,-0.005937500000000001,14,0
544,17,-0.5037590000703994,32,-0.0046875,17,0
640,20,-0.5215715000704022,32,-0.0065625000000000015,19,0
800,25,-1.6427801077558637,32,-0.005937500000000001,23,0
960,30,-1.6442822665669734,32,-0.0043749999999999995,27,0
1280,40,-1.6939697665669635,32,-0.0053125,37,0
1600,50,-1.7449072665669534,32,-0.005625000000000001,47,0
1920,60,-2.4439998012470783,32,-0.0043749999999999995,57,0
2240,70,-3.591234145533812,32,-0.0046875,66,0
2560,80,-3.642171645533838,32,-0.005937500000000001,76,0
2880,90,-3.6896716455338625,32,-0.0046875,86,0
3200,100,-3.739671645533888,32,-0.0046875,95,0
3840,120,-3.849046645533944,32,-0.005,113,0
4480,140,-3.950296645533996,32,-0.0037499999999999994,131,0
5440,170,-3.7624520430191972,32,-0.005,160,0
6400,200,-3.9118270430192736,32,-0.0065625000000000015,189,0
8000,250,-4.916510889585197,32,-0.0053125,238,0
9600,300,-4.373518214754242,32,-0.0046875,288,0
12800,400,-2.9127966390909945,32,-0.004062499999999999,383,0
16000,500,0.334912757229215,32,-1.1346117715609654,481,0
19200,600,-0.5889978223294514,32,-0.006250000000000001,578,0
22400,700,-2.0725224382790075,32,-0.5616469282934046,678,0
25600,800,6.65708478135575,32,-0.2987571088578593,775,0
28800,900,-4.875666244491841,32,-0.30989349837393854,873,0
32000,1000,-13.779244120661264,32,-1.4562689086751535,969,0
38400,1200,-6.078118857855189,32,-0.005625000000000001,1166,0
44800,1400,-16.91573598742562,32,-0.0053125,1361,0
54400,1700,-10.077444608167555,32,-0.48313681484849536,1652,0
64000,2000,-5.530703943304496,32,-0.0037499999999999994,1941,0
80000,2500,8.578588323201494,32,1.4456293373447198,2422,0
96000,3000,7.107444613651537,32,-0.7533224606940117,2902,0
128000,4000,-6.046836810981361,32,-0.0046875,3872,0
160000,5000,30.096329535495254,32,-1.6342887022824144,4845,0
192000,6000,-2.349576858409201,32,-0.0031249999999999997,5830,0
224000,7000,-20.60009956714043,32,0.4498327388827946,6808,0
256000,8000,-33.10587938214806,32,-0.006875000000000002,7777,0
288000,9000,-46.90571861644829,32,-0.0046875,8751,0
320000,10000,-37.30693736221091,32,0.5868331739648758,9725,0
