steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-8.0,1,1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-18.0,1,-1.0,38.0
25,25,-23.0,1,-1.0,48.0
30,30,-24.0,1,-1.0,54.0
40,40,-32.0,1,-1.0,72.0
50,50,-36.0,1,-1.0,86.0
60,60,-46.0,1,-1.0,106.0
70,70,-56.0,1,-1.0,126.0
80,80,-62.0,1,-1.0,142.0
90,90,-68.0,1,-1.0,158.0
100,100,-76.0,1,-1.0,176.0
120,120,-96.0,1,-1.0,216.0
140,140,-106.0,1,-1.0,246.0
170,170,-124.0,1,-1.0,294.0
200,200,-146.0,1,1.0,346.0
250,250,-176.0,1,-1.0,426.0
300,300,-214.0,1,-1.0,514.0
400,400,-294.0,1,-1.0,694.0
500,500,-376.0,1,-1.0,876.0
600,600,-444.0,1,-1.0,1044.0
700,700,-522.0,1,-1.0,1222.0
800,800,-588.0,1,-1.0,1388.0
900,900,-656.0,1,-1.0,1556.0
1000,1000,-730.0,1,-1.0,1730.0
1200,1200,-860.0,1,-1.0,2060.0
1400,1400,-990.0,1,-1.0,2390.0
1700,1700,-1192.0,1,-1.0,2892.0
2000,2000,-1378.0,1,-1.0,3378.0
2500,2500,-1714.0,1,-1.0,4214.0
3000,3000,-2036.0,1,-1.0,5036.0
4000,4000,-2720.0,1,1.0,6720.0
5000,5000,-3334.0,1,1.0,8334.0
6000,6000,-3964.0,1,1.0,9964.0
7000,7000,-4528.0,1,1.0,11528.0
8000,8000,-5070.0,1,-1.0,13070.0
9000,9000,-5568.0,1,-1.0,14568.0
