steps,episode,total_return,episode_len,episode_return,total_regret
80,1,-6.0,80,-6.0,2.0
160,2,-4.0,80,2.0,4.0
240,3,6.0,80,10.0,4.0
320,4,2.0,80,-4.0,4.0
400,5,0.0,80,-2.0,4.0
480,6,6.0,80,6.0,6.0
560,7,22.0,80,16.0,8.0
640,8,24.0,80,2.0,8.0
720,9,28.0,80,4.0,10.0
800,10,30.0,80,2.0,10.0
960,12,28.0,80,-6.0,10.0
1120,14,48.0,80,14.0,10.0
1360,17,48.0,80,6.0,12.0
1600,20,40.0,80,-6.0,16.0
2000,25,44.0,80,-10.0,20.0
2400,30,38.0,80,4.0,26.0
3200,40,32.0,80,-20.0,30.0
4000,50,44.0,80,-12.0,46.0
4800,60,50.0,80,4.0,58.0
5600,70,84.0,80,24.0,68.0
6400,80,70.0,80,-8.0,74.0
7200,90,22.0,80,8.0,84.0
8000,100,80.0,80,12.0,88.0
9600,120,108.0,80,-10.0,106.0
11200,140,140.0,80,6.0,120.0
13600,170,148.0,80,10.0,146.0
16000,200,138.0,80,4.0,172.0
20000,250,218.0,80,10.0,208.0
24000,300,234.0,80,2.0,266.0
32000,400,188.0,80,6.0,360.0
40000,500,190.0,80,-10.0,472.0
48000,600,82.0,80,-4.0,576.0
56000,700,96.0,80,6.0,666.0
64000,800,102.0,80,8.0,766.0
72000,900,96.0,80,0.0,878.0
80000,1000,-98.0,80,-16.0,980.0
96000,1200,82.0,80,4.0,1210.0
112000,1400,60.0,80,-12.0,1450.0
136000,1700,86.0,80,14.0,1738.0
160000,2000,-74.0,80,-4.0,2016.0
200000,2500,-60.0,80,-2.0,2506.0
240000,3000,12.0,80,-4.0,2986.0
320000,4000,-254.0,80,-14.0,3852.0
400000,5000,-294.0,80,8.0,4738.0
480000,6000,-338.0,80,0.0,5658.0
560000,7000,-208.0,80,-6.0,6636.0
640000,8000,384.0,80,-18.0,7454.0
720000,9000,968.0,80,10.0,8284.0
800000,10000,398.0,80,-6.0,9320.0
