steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.6000000000000001,1,0.6000000000000001,0.3999999999999999
2,2,0.9000000000000001,1,0.30000000000000004,1.0999999999999999
3,3,0.9000000000000001,1,0.0,2.0999999999999996
4,4,1.7000000000000002,1,0.8,2.3
5,5,1.9000000000000001,1,0.2,3.0999999999999996
6,6,2.4000000000000004,1,0.5,3.5999999999999996
7,7,2.8000000000000003,1,0.4,4.199999999999999
8,8,3.5000000000000004,1,0.7000000000000001,4.499999999999999
9,9,4.4,1,0.9,4.599999999999999
10,10,4.5,1,0.1,5.499999999999999
12,12,5.9,1,1.0,6.099999999999999
14,14,6.6,1,0.1,7.399999999999999
17,17,7.699999999999999,1,0.8,9.299999999999997
20,20,9.2,1,0.5,10.799999999999997
25,25,12.299999999999999,1,1.0,12.699999999999998
30,30,14.0,1,0.8,15.999999999999996
40,40,19.000000000000004,1,0.7000000000000001,20.999999999999996
50,50,23.600000000000005,1,0.2,26.399999999999995
60,60,28.400000000000006,1,0.6000000000000001,31.599999999999994
70,70,33.50000000000001,1,0.8,36.5
80,80,37.400000000000006,1,0.30000000000000004,42.6
90,90,42.50000000000001,1,0.30000000000000004,47.5
100,100,46.900000000000006,1,0.30000000000000004,53.1
120,120,61.1,1,0.8,58.900000000000006
140,140,75.30000000000003,1,0.7000000000000001,64.7
170,170,97.80000000000007,1,0.30000000000000004,72.19999999999996
200,200,115.40000000000008,1,0.30000000000000004,84.59999999999995
250,250,146.90000000000012,1,0.30000000000000004,103.09999999999995
300,300,178.40000000000015,1,0.8,121.59999999999994
400,400,242.30000000000024,1,0.7000000000000001,157.69999999999985
500,500,308.40000000000015,1,0.7000000000000001,191.5999999999998
600,600,375.8,1,0.6000000000000001,224.1999999999997
700,700,444.6999999999998,1,0.6000000000000001,255.29999999999959
800,800,514.8999999999995,1,0.4,285.0999999999998
900,900,585.0999999999991,1,0.30000000000000004,314.9
1000,1000,657.1999999999987,1,0.30000000000000004,342.8000000000002
1200,1200,801.8999999999977,1,1.0,398.10000000000076
1400,1400,948.9999999999968,1,0.6000000000000001,451.00000000000136
1700,1700,1175.2999999999986,1,1.0,524.7000000000023
2000,2000,1406.4000000000024,1,0.9,593.6000000000039
2500,2500,1797.8000000000086,1,1.0,702.2000000000068
3000,3000,2194.900000000016,1,0.7000000000000001,805.1000000000091
4000,4000,3017.1000000000386,1,0.8,982.9000000000148
5000,5000,3866.400000000063,1,1.0,1133.6000000000067
6000,6000,4702.800000000029,1,0.9,1297.1999999999937
7000,7000,5573.199999999971,1,1.0,1426.799999999979
8000,8000,6420.599999999925,1,0.6000000000000001,1579.3999999999676
9000,9000,7340.899999999875,1,1.0,1659.0999999999551
10000,10000,8207.299999999817,1,0.0,1792.6999999999416
