steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.3038932369286902,1,-0.3038932369286902,0.0
2,2,-0.4299358599078748,1,-0.12604262297918462,0.7
3,3,0.838256280102631,1,1.2681921400105058,0.7999999999999999
4,4,1.046629808906604,1,0.20837352880397292,1.1999999999999997
5,5,2.5918985201727343,1,1.5452687112661303,1.6999999999999997
6,6,1.6365134584498648,1,-0.9553850617228694,1.8999999999999997
7,7,1.3020609166326427,1,-0.33445254181722217,2.8
8,8,0.9211660368593156,1,-0.38089487977332703,3.4
9,9,1.4574660004104065,1,0.5362999635510908,4.2
10,10,0.9183475933007077,1,-0.5391184071096988,5.2
12,12,-0.31249798347828983,1,0.09658546791411882,6.4
14,14,3.152926009982676,1,2.1968941984628603,7.4
17,17,3.462211657863917,1,1.538640042630207,8.6
20,20,5.296649791643804,1,-0.04608584657543935,9.7
25,25,6.766408112546907,1,-0.08721397698066147,13.3
30,30,9.752052441899112,1,1.4145664781512701,14.6
40,40,14.274126095017989,1,1.2772900417824804,19.0
50,50,19.07351457244799,1,2.066976811753311,23.5
60,60,25.998754998743916,1,-0.7547624816983607,28.2
70,70,35.23512064185429,1,0.4557441741428905,33.0
80,80,38.04337441998903,1,-1.3673615005548732,37.00000000000001
90,90,41.047653539922486,1,-0.0044159237130063644,41.60000000000001
100,100,48.08673916339771,1,1.0337227957274011,45.10000000000001
120,120,59.76704453884112,1,-1.3226303856669024,54.199999999999996
140,140,72.07545554825838,1,-0.9150162642537817,63.999999999999986
170,170,87.66770762887174,1,-0.6241741228404909,77.6
200,200,114.2731783205708,1,0.766637769780915,90.99999999999999
250,250,138.46236371667314,1,0.8846023006317429,113.19999999999999
300,300,162.66892014806578,1,-0.023500177828944424,134.69999999999996
400,400,240.8340250768942,1,-0.49473346002195595,177.49999999999986
500,500,296.923060373139,1,-0.5485818280553555,212.5999999999998
600,600,336.0719813869221,1,-0.5018181884245907,256.39999999999975
700,700,398.11048633804285,1,-0.20403847357990235,280.59999999999997
800,800,479.8883103790447,1,1.2193614928950605,305.4000000000006
900,900,537.3134960108493,1,-0.5181655177755665,337.6000000000005
1000,1000,615.389786972901,1,1.496740099641283,372.7000000000016
1200,1200,730.9413070778487,1,1.347563419076901,444.5000000000015
1400,1400,867.3474044187353,1,-0.6910550854443223,499.6000000000012
1700,1700,1085.1484303920186,1,2.150609616912159,575.3000000000022
2000,2000,1298.3978999905448,1,0.08110296238810066,676.6000000000025
2500,2500,1651.5235437912972,1,3.612823204505549,824.4000000000059
3000,3000,2013.2450949918623,1,1.5722516407430536,960.100000000006
4000,4000,2812.0174061043244,1,1.156956188150384,1152.1999999999905
5000,5000,3620.8123122331517,1,2.057266870018325,1366.199999999973
6000,6000,4440.441093862422,1,0.7224593803350556,1545.7999999999606
7000,7000,5301.9314997939455,1,0.8567329595002052,1706.9999999999397
8000,8000,6193.302619421084,1,0.5612623108273755,1876.299999999931
9000,9000,7111.6078479589705,1,0.11544590830625012,2001.29999999991
10000,10000,7934.7883924138705,1,1.528289581004795,2164.6999999998907
