steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
72,1,71.0,72,71.0,71.0,71.0
106,2,104.0,34,33.0,104.0,71.0
188,3,185.0,82,81.0,185.0,81.0
233,4,229.0,45,44.0,229.0,81.0
275,5,270.0,42,41.0,270.0,81.0
313,6,307.0,38,37.0,307.0,81.0
360,7,353.0,47,46.0,353.0,81.0
430,8,422.0,70,69.0,422.0,81.0
492,9,483.0,62,61.0,483.0,81.0
557,10,547.0,65,64.0,547.0,81.0
741,12,729.0,72,71.0,729.0,111.0
842,14,828.0,46,45.0,828.0,111.0
993,17,976.0,44,43.0,976.0,111.0
1090,20,1070.0,30,29.0,1070.0,111.0
1267,25,1242.0,41,40.0,1242.0,111.0
1611,30,1581.0,55,54.0,1581.0,126.0
2238,40,2198.0,71,70.0,2198.0,126.0
2937,50,2887.0,83,82.0,2887.0,126.0
3642,60,3582.0,56,55.0,3582.0,126.0
4542,70,4472.0,133,132.0,4472.0,132.0
5554,80,5474.0,61,60.0,5474.0,144.0
6696,90,6606.0,67,66.0,6606.0,157.0
7791,100,7691.0,147,146.0,7691.0,157.0
10783,120,10663.0,153,152.0,10663.0,160.0
13548,140,13408.0,54,53.0,13408.0,173.0
15430,170,15260.0,52,51.0,15260.0,173.0
17935,200,17735.0,217,216.0,17735.0,216.0
28077,250,27828.0,222,221.0,27828.0,1001.0
52011,300,51723.0,312,311.0,51723.0,1001.0
75410,400,75023.0,259,258.0,75023.0,1001.0
100944,500,100457.0,264,263.0,100457.0,1001.0
139298,600,138717.0,849,848.0,138717.0,1001.0
161027,700,160346.0,35,34.0,160346.0,1001.0
174724,800,173943.0,285,284.0,173943.0,1001.0
199903,900,199022.0,279,278.0,199022.0,1001.0
222476,1000,221495.0,262,261.0,221495.0,1001.0
