steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
62,1,52.538942130133236,62,52.538942130133236,61.0,61.0
96,2,91.24527470018788,34,38.70633257005465,94.0,61.0
184,3,174.94534631038832,88,83.7000716102006,181.0,87.0
218,4,208.3466367184294,34,33.40129040804106,214.0,87.0
256,5,249.01190516892308,38,40.665268450493684,251.0,87.0
321,6,323.12328133608054,65,74.11137616715732,315.0,87.0
364,7,371.63961088782486,43,48.51632955174419,357.0,87.0
411,8,416.37324901701606,47,44.73363812919121,403.0,87.0
466,9,482.0532204334965,55,65.67997141648036,457.0,87.0
515,10,527.9628686631341,49,45.909648229637696,505.0,87.0
666,12,674.5353633308541,87,86.1095752613605,654.0,87.0
784,14,779.255755124154,58,47.06283224876385,770.0,87.0
947,17,945.265516182243,54,59.00206084046571,930.0,87.0
1102,20,1084.1484417666845,49,47.12296490468009,1082.0,87.0
1578,25,1550.1735030669977,220,211.77306550472522,1553.0,219.0
1790,30,1743.1592182816003,41,36.69633613855365,1760.0,219.0
3607,40,3602.5914040203174,150,149.12555549208992,3567.0,534.0
5023,50,5004.514544338563,134,143.52310092757767,4973.0,534.0
5899,60,5902.465559604904,140,152.65526308633008,5839.0,534.0
6868,70,6888.432242601449,62,68.21421260663284,6798.0,534.0
8230,80,8292.291890148814,136,142.75677346122265,8150.0,534.0
9636,90,9739.08974673846,142,142.95882061136805,9546.0,534.0
11015,100,11106.729954332792,128,126.4130460190925,10915.0,534.0
13380,120,13381.884980328683,75,77.78591916886599,13260.0,534.0
15583,140,15542.023257205761,85,68.32937237086931,15443.0,534.0
18278,170,18184.934562009865,132,145.37694680401384,18108.0,534.0
21745,200,21686.92267539902,130,120.08155554784017,21545.0,534.0
27669,250,27525.126783290987,53,63.92215045291977,27419.0,534.0
32761,300,32510.362610811986,130,126.33810524607551,32461.0,534.0
45596,400,45387.572496142864,161,164.48806019579868,45196.0,534.0
59479,500,59070.65521870758,169,171.90648612379152,58979.0,534.0
78807,600,78372.06545326703,253,240.78393944177512,78207.0,534.0
123006,700,122693.4591378281,811,814.9736862388113,122323.0,1001.0
176511,800,176098.29569924713,364,355.3520671417201,175735.0,1001.0
208176,900,207388.10754760256,229,218.46293549789837,207300.0,1001.0
223149,1000,222091.32297037865,153,148.6401902465413,222173.0,1001.0
