steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
63,1,1860.0,63,1860.0,62.0,62.0
99,2,2910.0,36,1050.0,97.0,62.0
146,3,4290.0,47,1380.0,143.0,62.0
220,4,6480.0,74,2190.0,216.0,73.0
276,5,8130.0,56,1650.0,271.0,73.0
318,6,9360.0,42,1230.0,312.0,73.0
362,7,10650.0,44,1290.0,355.0,73.0
416,8,12240.0,54,1590.0,408.0,73.0
454,9,13350.0,38,1110.0,445.0,73.0
518,10,15240.0,64,1890.0,508.0,73.0
758,12,22380.0,65,1920.0,746.0,174.0
872,14,25740.0,49,1440.0,858.0,174.0
1067,17,31500.0,80,2370.0,1050.0,174.0
1403,20,41490.0,33,960.0,1383.0,234.0
1694,25,50070.0,58,1710.0,1669.0,234.0
1978,30,58440.0,52,1530.0,1948.0,234.0
2517,40,74310.0,36,1050.0,2477.0,234.0
2943,50,86790.0,74,2190.0,2893.0,234.0
3484,60,102720.0,46,1350.0,3424.0,234.0
4015,70,118350.0,43,1260.0,3945.0,234.0
4539,80,133770.0,61,1800.0,4459.0,234.0
5121,90,150930.0,52,1530.0,5031.0,234.0
5607,100,165210.0,42,1230.0,5507.0,234.0
6655,120,196050.0,45,1320.0,6535.0,234.0
7834,140,230820.0,56,1650.0,7694.0,234.0
10556,170,311580.0,134,3990.0,10386.0,234.0
14879,200,440370.0,176,5250.0,14679.0,234.0
22775,250,675750.0,170,5070.0,22525.0,234.0
31460,300,934800.0,194,5790.0,31160.0,234.0
48277,400,1436310.0,31,900.0,47877.0,234.0
51603,500,1533090.0,48,1410.0,51103.0,234.0
64452,600,1915560.0,236,7050.0,63852.0,250.0
80363,700,2389890.0,164,4890.0,79663.0,250.0
95631,800,2844930.0,151,4500.0,94831.0,250.0
109918,900,3270540.0,145,4320.0,109018.0,250.0
122909,1000,3657270.0,136,4050.0,121909.0,250.0
