steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
136,1,-9.399999999999983,136,-9.399999999999983,-9.399999999999983,0.0,0.0
404,2,-17.49999999999998,268,-8.099999999999987,-17.49999999999998,0.0,0.0
959,3,-27.200000000000117,555,-9.699999999999982,-27.200000000000117,0.0,0.0
1282,4,-34.900000000000226,323,-7.699999999999989,-34.900000000000226,0.0,0.0
1703,5,-59.30000000000057,421,-24.400000000000077,-59.30000000000057,0.0,0.0
1974,6,-67.70000000000043,271,-8.399999999999986,-67.70000000000043,0.0,0.0
2498,7,-78.29999999999983,524,-10.599999999999978,-78.29999999999983,0.0,0.0
3179,8,-80.99999999999967,681,-2.700000000000001,-80.99999999999967,0.0,0.0
4180,9,-84.79999999999946,1001,-3.800000000000002,-84.79999999999946,0.0,0.0
4985,10,-87.19999999999932,805,-2.400000000000001,-87.19999999999932,0.0,0.0
6659,12,-91.39999999999908,673,-2.0000000000000004,-91.39999999999908,0.0,0.0
8661,14,-101.19999999999852,1001,-6.199999999999994,-101.19999999999852,0.0,0.0
11265,17,-111.79999999999792,1001,-4.000000000000002,-111.79999999999792,0.0,0.0
13918,20,-121.59999999999737,651,-3.2000000000000015,-121.59999999999737,0.0,0.0
18923,25,-138.09999999999644,1001,-2.9000000000000012,-138.09999999999644,0.0,0.0
23508,30,-153.19999999999558,1001,-3.5000000000000018,-153.19999999999558,0.0,0.0
32663,40,-183.49999999999386,990,-3.5000000000000018,-183.49999999999386,0.0,0.0
41072,50,-213.39999999999216,1001,-3.3000000000000016,-213.39999999999216,0.0,0.0
49908,60,-243.89999999999043,1001,-3.600000000000002,-243.89999999999043,0.0,0.0
59913,70,-274.4999999999939,1001,-3.800000000000002,-274.4999999999939,0.0,0.0
68341,80,-303.5000000000005,1001,-4.5,-303.5000000000005,0.0,0.0
77690,90,-333.9000000000074,1001,-2.3000000000000007,-333.9000000000074,0.0,0.0
87492,100,-367.00000000001495,1001,-3.600000000000002,-367.00000000001495,0.0,0.0
105708,120,-427.60000000002873,1001,-3.3000000000000016,-427.60000000002873,0.0,0.0
124589,140,-493.1000000000436,1001,-2.9000000000000012,-493.1000000000436,0.0,0.0
152322,170,-583.9000000000642,1001,-2.600000000000001,-583.9000000000642,0.0,0.0
180308,200,-678.3000000000857,1001,-3.900000000000002,-678.3000000000857,0.0,0.0
225805,250,-830.0000000001202,597,-2.2000000000000006,-830.0000000001202,0.0,0.0
271305,300,-977.0000000001536,1001,-2.2000000000000006,-977.0000000001536,0.0,0.0
364184,400,-1284.1999999999275,1001,-4.100000000000001,-1284.1999999999275,0.0,0.0
458128,500,-1600.4999999996398,809,-2.0000000000000004,-1600.4999999996398,0.0,0.0
552551,600,-1913.0999999993555,1001,-3.700000000000002,-1913.0999999993555,0.0,0.0
646762,700,-2234.9999999990628,886,-3.1000000000000014,-2234.9999999990628,0.0,0.0
739522,800,-2547.099999998779,1001,-3.5000000000000018,-2547.099999998779,0.0,0.0
834805,900,-2859.8999999984944,1001,-3.4000000000000017,-2859.8999999984944,0.0,0.0
928964,1000,-3178.6999999982045,1001,-3.600000000000002,-3178.6999999982045,0.0,0.0
