steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
44,1,-0.005,44,-0.005,1,0
88,2,-0.010681818181818176,44,-0.005681818181818181,2,0
132,3,-0.016590909090909087,44,-0.005909090909090908,3,0
176,4,-0.021818181818181848,44,-0.005227272727272727,4,0
220,5,-0.02681818181818188,44,-0.005,5,0
264,6,-0.03204545454545464,44,-0.005227272727272727,6,0
308,7,-0.036818181818181944,44,-0.004772727272727273,7,0
352,8,-0.042272727272727434,44,-0.005454545454545454,8,0
396,9,-0.04704545454545474,44,-0.004772727272727273,9,0
440,10,-0.05159090909090931,44,-0.004545454545454546,10,0
528,12,-0.06068181818181846,44,-0.004545454545454546,12,0
616,14,1.6744125609782696,44,-0.0031818181818181824,14,0
748,17,3.153394771428019,44,1.3288130206945166,17,0
880,20,3.3298435187194695,44,-0.005,20,0
1100,25,5.982227973061277,44,-0.005681818181818181,25,0
1320,30,4.002076943242564,44,-0.004545454545454546,29,0
1760,40,2.0767587162415113,44,-1.080562689160833,38,0
2200,50,3.0009050567440387,44,1.0669697262939795,47,0
2640,60,3.9943438340717403,44,1.8479227938208305,57,0
3080,70,3.5211050298938336,44,-0.005,67,0
3520,80,0.39822555103280843,44,-0.7018765667937087,77,0
3960,90,2.264381976460976,44,-0.32052319190671674,87,0
4400,100,-0.6020088803395713,44,-0.004318181818181819,97,0
5280,120,0.16427922394672276,44,-0.005227272727272727,116,0
6160,140,-3.8306354678275305,44,-1.967176308507666,136,0
7480,170,-4.447396229442187,44,-0.004545454545454546,166,0
8800,200,-6.953058942249445,44,-0.0038636363636363647,195,0
11000,250,-3.935644698930275,44,-1.5051813541030732,245,0
13200,300,-2.9646439309574477,44,0.453182965187679,293,0
17600,400,-11.59888957723785,44,0.34355159238242416,392,0
22000,500,-14.053282609093209,44,-0.004772727272727273,490,0
26400,600,-14.719746232776124,44,-0.005454545454545454,590,0
30800,700,-15.809972941890155,44,-0.005909090909090908,687,0
35200,800,-16.26315476007156,44,-0.004772727272727273,785,0
39600,900,-18.177842151188017,44,-0.0038636363636363647,883,0
44000,1000,-18.707160333005717,44,-0.004772727272727273,982,0
52800,1200,-20.517041102512223,44,-0.005227272727272727,1177,0
61600,1400,-18.444411671829464,44,-0.006590909090909089,1373,0
74800,1700,-33.23311620241376,44,-0.005227272727272727,1668,0
88000,2000,-34.794252566048705,44,-0.005227272727272727,1961,0
110000,2500,-40.373183141396176,44,-0.005909090909090908,2454,0
132000,3000,-45.736740506676135,44,0.3442090937077647,2948,0
176000,4000,-28.635063461880648,44,0.17465894821047181,3933,0
220000,5000,-10.14754802640935,44,-0.004318181818181819,4923,0
264000,6000,-19.15885474838136,44,0.3533579715263541,5906,0
308000,7000,-27.51263647647421,44,-0.005227272727272727,6885,0
352000,8000,-39.07937928896394,44,-0.006818181818181816,7864,0
396000,9000,-55.06246132234384,44,-0.004545454545454546,8850,0
440000,10000,-45.0151466600533,44,-0.04121464096977626,9817,0
