steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-6.0,20,-6.0,2.0
40,2,-6.0,20,0.0,4.0
60,3,-4.0,20,2.0,4.0
80,4,-6.0,20,-2.0,6.0
100,5,-4.0,20,2.0,8.0
120,6,-6.0,20,-2.0,8.0
140,7,-6.0,20,0.0,10.0
160,8,-12.0,20,-6.0,10.0
180,9,-12.0,20,0.0,10.0
200,10,-10.0,20,2.0,10.0
240,12,0.0,20,4.0,10.0
280,14,6.0,20,4.0,14.0
340,17,4.0,20,-2.0,14.0
400,20,6.0,20,2.0,20.0
500,25,20.0,20,4.0,22.0
600,30,12.0,20,-2.0,26.0
800,40,-2.0,20,6.0,40.0
1000,50,0.0,20,6.0,52.0
1200,60,8.0,20,-4.0,64.0
1400,70,0.0,20,0.0,76.0
1600,80,-10.0,20,-2.0,90.0
1800,90,-10.0,20,6.0,104.0
2000,100,2.0,20,4.0,112.0
2400,120,30.0,20,8.0,132.0
2800,140,56.0,20,2.0,148.0
3400,170,84.0,20,-6.0,190.0
4000,200,80.0,20,-4.0,220.0
5000,250,74.0,20,-6.0,286.0
6000,300,76.0,20,0.0,336.0
8000,400,144.0,20,2.0,430.0
10000,500,146.0,20,-2.0,532.0
12000,600,164.0,20,-2.0,646.0
14000,700,272.0,20,-6.0,744.0
16000,800,268.0,20,0.0,858.0
18000,900,320.0,20,4.0,956.0
20000,1000,290.0,20,0.0,1056.0
24000,1200,380.0,20,-2.0,1252.0
28000,1400,504.0,20,-2.0,1434.0
34000,1700,372.0,20,4.0,1718.0
40000,2000,388.0,20,4.0,1990.0
50000,2500,528.0,20,6.0,2444.0
60000,3000,554.0,20,0.0,2914.0
80000,4000,444.0,20,-2.0,3820.0
100000,5000,662.0,20,-2.0,4652.0
120000,6000,868.0,20,4.0,5508.0
140000,7000,1018.0,20,-6.0,6362.0
160000,8000,1152.0,20,8.0,7166.0
180000,9000,1274.0,20,-2.0,7962.0
200000,10000,1414.0,20,6.0,8800.0
