steps,episode,total_return,episode_len,episode_return,total_regret
70,1,4.0,70,4.0,0.0
140,2,0.0,70,-4.0,2.0
210,3,6.0,70,6.0,4.0
280,4,14.0,70,8.0,4.0
350,5,14.0,70,0.0,6.0
420,6,14.0,70,0.0,6.0
490,7,12.0,70,-2.0,6.0
560,8,6.0,70,-6.0,6.0
630,9,16.0,70,10.0,6.0
700,10,14.0,70,-2.0,8.0
840,12,12.0,70,-6.0,8.0
980,14,12.0,70,14.0,10.0
1190,17,-4.0,70,0.0,12.0
1400,20,16.0,70,4.0,14.0
1750,25,44.0,70,-2.0,24.0
2100,30,102.0,70,16.0,28.0
2800,40,94.0,70,-16.0,40.0
3500,50,116.0,70,-2.0,48.0
4200,60,110.0,70,-12.0,60.0
4900,70,154.0,70,-6.0,72.0
5600,80,184.0,70,2.0,80.0
6300,90,208.0,70,-12.0,92.0
7000,100,152.0,70,-4.0,102.0
8400,120,180.0,70,18.0,130.0
9800,140,108.0,70,-4.0,160.0
11900,170,176.0,70,8.0,188.0
14000,200,180.0,70,12.0,214.0
17500,250,226.0,70,-8.0,274.0
21000,300,292.0,70,4.0,326.0
28000,400,366.0,70,2.0,444.0
35000,500,450.0,70,2.0,556.0
42000,600,342.0,70,2.0,672.0
49000,700,248.0,70,12.0,810.0
56000,800,308.0,70,-10.0,916.0
63000,900,342.0,70,12.0,1020.0
70000,1000,364.0,70,4.0,1116.0
84000,1200,532.0,70,12.0,1306.0
98000,1400,696.0,70,10.0,1476.0
119000,1700,524.0,70,8.0,1796.0
140000,2000,672.0,70,0.0,2048.0
175000,2500,1178.0,70,-4.0,2460.0
210000,3000,1526.0,70,8.0,2910.0
280000,4000,1032.0,70,24.0,3898.0
350000,5000,936.0,70,-12.0,4806.0
420000,6000,1078.0,70,8.0,5600.0
490000,7000,1568.0,70,-2.0,6486.0
560000,8000,2100.0,70,4.0,7362.0
630000,9000,2168.0,70,0.0,8354.0
700000,10000,2278.0,70,0.0,9412.0
